timestamp,time (gmt),value,lowPass,highPass,highPassAdaptiveMean
1495414936.942289,42877.043252,267.0000,240.8895,2.3445,0.0000
1495414937.069743,42877.043253,289.0000,245.7006,3.5778,0.0000
1495414937.196722,42877.043255,260.0000,247.1305,2.5039,0.0000
1495414937.327520,42877.043256,322.0000,254.6175,4.9954,0.0000
1495414937.455206,42877.043258,346.0000,263.7557,7.0668,0.0000
1495414937.582127,42877.043259,237.0000,261.0802,2.1956,0.0000
1495414937.709092,42877.043261,254.0000,260.3721,0.7438,0.0000
1495414937.836166,42877.043262,243.0000,258.6349,-0.4967,0.0000
1495414937.967511,42877.043264,289.0000,261.6714,1.2699,0.0000
1495414938.094507,42877.043265,328.0000,268.3043,3.9514,0.0000
1495414938.221634,42877.043266,250.0000,266.4739,1.0605,0.0000
1495414938.348551,42877.043268,330.0000,272.8265,3.7065,0.0000
1495414938.497693,42877.043270,309.0000,276.4438,3.6619,0.0000
1495414938.636199,42877.043271,198.0000,268.5994,-2.0912,0.0000
1495414938.775280,42877.043273,243.0000,266.0395,-2.3256,0.0000
1495414938.927820,42877.043275,202.0000,259.6356,-4.3648,0.0000
1495414939.065897,42877.043276,236.0000,257.2720,-3.3642,0.0000
1495414939.204150,42877.043278,224.0000,253.9448,-3.3457,0.0000
1495414939.342301,42877.043279,202.0000,248.7503,-4.2701,0.0000
1495414939.486102,42877.043281,233.0000,247.1753,-2.9226,0.0000
1495414939.624464,42877.043283,208.0000,243.2578,-3.4200,0.0000
1495414939.763951,42877.043284,201.0000,239.0320,-3.8229,0.0000
1495414939.903180,42877.043286,202.0000,235.3288,-3.7631,0.0000
1495414940.047101,42877.043288,241.0000,235.8959,-1.5980,0.0000
1495414940.184948,42877.043289,231.0000,235.4063,-1.0438,0.0000
1495414940.335789,42877.043291,201.0000,231.9657,-2.2422,0.0000
1495414940.473784,42877.043293,291.0000,237.8691,1.8306,0.0000
1495414940.611975,42877.043294,259.0000,239.9822,1.9719,0.0000
1495414940.751101,42877.043296,246.0000,240.5840,1.2868,0.0000
1495414940.894392,42877.043297,201.0000,236.6256,-1.3358,0.0000
1495414941.033232,42877.043299,199.0000,232.8630,-2.5492,0.0000
1495414941.171714,42877.043301,203.0000,229.8767,-2.7677,0.0000
1495414941.319977,42877.043302,241.0000,230.9891,-0.8277,0.0000
1495414941.458194,42877.043304,225.0000,230.3901,-0.7133,0.0000
1495414941.591368,42877.043305,278.0000,235.1511,2.0238,0.0000
1495414941.739107,42877.043307,204.0000,232.0360,-0.5456,0.0000
1495414941.877658,42877.043309,227.0000,231.5324,-0.5246,0.0000
1495414942.015984,42877.043310,237.0000,232.0792,0.0111,0.0000
1495414942.154415,42877.043312,221.0000,230.9713,-0.5484,0.0000
1495414942.297131,42877.043314,209.0000,228.7741,-1.3728,0.0000
1495414942.435778,42877.043315,198.0000,225.6967,-2.2251,0.0000
1495414942.576645,42877.043317,265.0000,229.6270,0.8526,0.0000
1495414942.722228,42877.043319,208.0000,227.4643,-0.6550,0.0000
1495414942.869446,42877.043320,234.0000,228.1179,-0.0007,0.0000
1495414943.007831,42877.043322,204.0000,225.7061,-1.2063,0.0000
1495414943.159244,42877.043324,225.0000,225.6355,-0.6384,0.0000
1495414943.297862,42877.043325,246.0000,227.6720,0.6990,0.0000
1495414943.436222,42877.043327,231.0000,228.0048,0.5159,0.0000
1495414943.578111,42877.043328,225.0000,227.7043,0.1077,0.0000
1495414943.705259,42877.043330,203.0000,225.2339,-1.1814,0.0000
1495414943.832464,42877.043331,233.0000,226.0105,-0.2024,0.0000
1495414943.959416,42877.043333,254.0000,228.8094,1.2983,0.0000
1495414944.086258,42877.043334,269.0000,232.8285,2.6587,0.0000
1495414944.214246,42877.043336,281.0000,237.6456,3.7379,0.0000
1495414944.341100,42877.043337,261.0000,239.9811,3.0367,0.0000
1495414944.467889,42877.043339,204.0000,236.3830,-0.2807,0.0000
1495414944.595253,42877.043340,201.0000,232.8447,-1.9095,0.0000
1495414944.722086,42877.043342,240.0000,233.5602,-0.5970,0.0000
1495414944.850806,42877.043343,199.0000,230.1042,-2.0265,0.0000
1495414944.977744,42877.043345,205.0000,227.5938,-2.2685,0.0000
1495414945.104667,42877.043346,267.0000,231.5344,0.8361,0.0000
1495414945.231416,42877.043348,215.0000,229.8809,-0.4087,0.0000
1495414945.366779,42877.043349,200.0000,226.8929,-1.6984,0.0000
1495414945.493660,42877.043351,265.0000,230.7036,1.0562,0.0000
1495414945.623575,42877.043352,336.0000,241.2332,5.7929,0.0000
1495414945.750366,42877.043354,245.0000,241.6099,3.0848,0.0000
1495414945.877814,42877.043355,261.0000,243.5489,2.5119,0.0000
1495414946.007438,42877.043357,199.0000,239.0940,-0.9715,0.0000
1495414946.134778,42877.043358,275.0000,242.6846,1.3096,0.0000
